note_id,time_onset,time_offset,velocity_onset,velocity_offset,duration,inter_onset_interval,offset_time_duration
P1-486-5,99.59919664,99.95518947999999,57.8,58.24,0.35599284000000353,0.6290358800000011,-0.9850287200000046
P1-486-6,99.91715516000001,100.35433396,59.56,55.72,0.4371788000000015,0.2220300799999996,-0.6592088800000012
P1-486-7,96.05428556000001,98.24117052,50.84,54.44,2.186884959999999,0.09211872000000274,-2.279003680000002
P1-486-8,96.03529504,98.39209892,64.0,47.24,2.356803879999997,1.2748333199999962,-3.6316371999999935
P1-486-9,98.88240008000001,99.51080576,47.48,52.88,0.6284056799999983,0.060972360000002154,-0.6893780400000005
P1-487-11,101.55367272,101.72185812,35.4,49.92,0.16818539999999838,1.1884978799999986,-1.3566832799999968
P1-487-12,101.69305539999999,101.84387516000001,38.2,56.56,0.1508197600000064,0.13938267999999307,-0.2902024399999995
P1-487-3,102.36758792,102.52532788,42.44,54.8,0.1577399599999957,0.6745325200000073,-0.832272480000003
P1-487-5,100.34158508,102.68209639999999,40.44,47.28,2.3405113199999956,0.06534071999999991,-2.405852039999995
P1-487-6,100.32206488000001,102.61528431999999,53.04,50.28,2.293219439999995,0.3119042400000027,-2.6051236799999975
P1-487-7,103.17780543999999,104.43490276,44.0,49.0,1.2570973200000015,0.13830019999999693,-1.3953975199999982
P1-487-8,103.14641131999998,104.63470852,67.04,50.8,1.488297200000004,0.6724301199999997,-2.160727320000004
P1-487-9,100.3602614,100.78865112,32.68,47.52,0.42838971999999237,0.04956420000000208,-0.4779539199999945
P1-488-10,107.89146636,108.18612504,52.96,59.16,0.2946586800000002,0.3675879199999994,-0.6622465999999996
P1-488-11,108.21551684,108.52286456,52.36,56.84,0.3073477200000045,0.03957059999999743,-0.3469183200000019
P1-488-12,108.52266132000001,108.87046848,51.04,48.68,0.34780715999999956,0.04307056000000102,-0.3908777200000006
P1-488-13,104.71355684,105.20519088,35.84,46.04,0.49163404000000455,0.15350115999999672,-0.6451352000000012
P1-488-15,105.94642968,106.11564544000001,38.68,52.8,0.1692157600000075,1.2296250000000015,-1.398840760000009
P1-488-16,106.08844988000001,106.23924204000001,41.88,57.96,0.1507921600000052,0.14202020000000082,-0.29281236000000604
P1-488-3,106.75469744,106.91651608000001,45.0,56.4,0.16181864000000595,0.6662475599999977,-0.8280662000000037
P1-488-4,107.48381212,108.33388839999999,62.64,55.6,0.8500762799999987,0.6882826000000003,-1.538358879999999
P1-488-5,108.19544624,108.55264004,64.12,54.72,0.357193800000003,0.2844798799999977,-0.6416736800000007
P1-488-6,108.49909076,108.95935104,67.68,54.68,0.46026027999999997,0.24116792000000145,-0.7014282000000014
P1-488-7,104.68535487999999,107.04008656,47.68,48.28,2.3547316800000018,0.23106640000000336,-2.585798080000005
P1-488-8,634.1127045,635.6230395,60.0,80.0,1.5103350000000004,0.0,-1.5103350000000004
P1-488-9,107.52387844,108.11353836,42.08,51.72,0.5896599200000006,0.08089840000000457,-0.6705583200000053
P1-489-10,111.595829,111.99430268,72.36,58.52,0.3984736800000049,0.5383007599999966,-0.9367744400000015
P1-489-11,112.26785620000001,112.72684908000001,58.44,52.08,0.45899287999999855,0.06419555999999929,-0.5231884399999979
P1-489-12,112.24366064,112.65008100000001,77.56,53.44,0.4064203600000002,0.5822076000000017,-0.9886279600000019
P1-489-13,108.9396198,109.3639868,34.36,48.16,0.42436700000000593,0.05452240000000302,-0.47888940000000896
P1-489-15,110.11072452,110.26239768,38.92,53.88,0.151673159999999,1.1643525600000084,-1.3160257200000074
P1-489-16,110.24810352,110.38678012,43.16,61.44,0.13867660000000406,0.137378999999993,-0.27605559999999707
P1-489-3,110.95508579999999,111.1588674,46.92,53.96,0.20378159999999135,0.11302024000000387,-0.3168018399999952
P1-489-5,108.91497027999999,110.5709422,47.56,49.8,1.6559719200000094,0.054188959999998045,-1.7101608800000077
